Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"3470 Desmond Ave, Halifax",Primary market,1955,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050023.00,B3L (2006-2015); B3N (2016-2022),Peninsula North,Halifax
"3479 Connolly St, Halifax",Primary market,1960,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050023.00,B3L,Peninsula North,Halifax
"3480 Desmond Ave, Halifax",Primary market,1959,5,5,,,,,"2023: $641,800; 2022: $604,500; 2021: $569,100; 2020: $569,200; 2019: $547,000",,2050023.00,B3L (2006-2015); B3N (2016-2022),Peninsula North,Halifax
"3481 Windsor St, Halifax",Primary market,1962,8,8,,,,,"2023: $980,500; 2022: $914,200; 2021: $821,900; 2020: $790,600; 2019: $737,100",,2050022.00,B3K,Peninsula North,Halifax
"3488 Dutch Village Rd, Halifax",Primary market,2022,26,26,,,,,"2023: $4,567,400; 2022: $1,364,000; 2021: $358,000; 2020: $295,700; 2019: $233,200",,2050024.00,B3N,Mainland North,Halifax
"35 Bently Dr, Halifax",Primary market,2013,82,82,,,,,"2023: $17,347,900; 2022: $16,697,900; 2021: $17,624,100; 2020: $17,083,000; 2019: $15,729,600",,2050024.00,B3S,Mainland North,Halifax
"35 Circle Dr, Halifax",Primary market,1974,9,9,,,,,"2023: $716,000; 2022: $649,100; 2021: $589,000; 2020: $615,200; 2019: $492,400","2022: $1,370,000 (1 parcel in sale)",2050014.00,B3P,Mainland South,Halifax
"35 Evans Ave, Halifax",Primary market,1969,50,50,,,,,"2023: $3,239,400; 2022: $3,014,700; 2021: $3,003,000; 2020: $3,151,900; 2019: $2,880,600","2022: $29,700,000 (5 parcels in sale); 2019: $0 (2 parcels in sale)",2050025.02,B3M,Mainland North,Halifax
"35 Farringdon Way, Bedford",Primary market,2020,43,43,,,,,"2023: $12,315,200; 2022: $11,311,700; 2021: $5,880,000; 2020: $1,160,000; 2019: $1,000,000",,2050132.06,B4B,Remainder of CMA,Halifax
"35 Harlington Crescent, Halifax",Primary market,1977,24,24,,,,,"2023: $2,308,300; 2022: $1,923,900; 2021: $1,715,100; 2020: $1,609,400; 2019: $1,589,200",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"35 Highfield Park Dr, Dartmouth",Primary market,1990,39,39,1,1,Renovation,2022,"2023: $3,492,500; 2022: $3,204,500; 2021: $2,736,200; 2020: $2,455,800; 2019: $2,317,800",,2050114.00,B3A,Dartmouth North,Halifax
"35 Joseph Young St, Dartmouth",Primary market,1990,60,60,,,,,"2023: $5,919,000; 2022: $5,504,700; 2021: $5,298,000; 2020: $4,867,500; 2019: $4,593,800",,2050114.00,B3A,Dartmouth North,Halifax
"35 Leaman Dr, Dartmouth",Primary market,1969,53,53,,,,,"2023: $4,392,300; 2022: $3,863,000; 2021: $3,524,500; 2020: $3,274,800; 2019: $3,181,200",,2050114.00,B3A,Dartmouth North,Halifax
"35 Legacy Crt, Lower Sackville",Primary market,2008,60,60,,,,,"2023: $8,704,800; 2022: $8,182,100; 2021: $8,173,900; 2020: $7,535,500; 2019: $7,810,600",,2050131.04,B4C,Sackville,Halifax
"35 Montgomery Crt, Halifax",Primary market,1992,28,28,,,,,"2023: $4,255,800; 2022: $3,670,900; 2021: $2,705,700; 2020: $2,681,400; 2019: $2,639,000","2020: $3,800,000 (1 parcel in sale)",2050026.01 (2006-2010); 2050026.04 (2011-2022),B3M,Mainland North,Halifax
"3501 Dutch Village Rd, Halifax",Primary market,1951,38,38,,,,,"2023: $3,043,000; 2022: $2,825,600; 2021: $2,599,300; 2020: $2,578,100; 2019: $2,433,900",,2050023.00,B3N,Peninsula North,Halifax
"3521 Windsor St, Halifax",Primary market,1956,14,14,,,,,"2023: $1,591,900; 2022: $1,431,800; 2021: $1,362,900; 2020: $1,232,600; 2019: $1,248,800",,2050022.00,B3K,Peninsula North,Halifax
"353 Portland St, Dartmouth",Boarding house,,,,,,,,,,2050102.00,B2Y,Dartmouth South,Halifax
"3530 Lynch St, Halifax",Primary market,1963,17,17,,,,,"2023: $1,053,100; 2022: $998,700; 2021: $987,000; 2020: $959,600; 2019: $914,400",,2050022.00,B3K,Peninsula North,Halifax
"3533 Strawberry Hill St, Halifax",Primary market,1956,15,15,1,,,,"2023: $1,445,500; 2022: $1,445,000; 2021: $1,247,200; 2020: $1,092,600; 2019: $1,067,000",,2050022.00,B3K,Peninsula North,Halifax
"3536 Connaught Ave, Halifax",Primary market,1961,13,13,,,,,"2023: $1,346,600; 2022: $1,188,400; 2021: $1,064,000; 2020: $1,028,000; 2019: $1,079,000",,2050023.00,B3L,Peninsula North,Halifax
"3543 Acadia St, Halifax",Primary market,1955,5,5,,,,,"2023: $641,800; 2022: $604,500; 2021: $569,100; 2020: $569,200; 2019: $547,000",,2050022.00,B3K,Peninsula North,Halifax
"3550 Connaught Ave, Halifax",Primary market,1955,11,11,,,,,"2023: $1,096,700; 2022: $938,500; 2021: $891,300; 2020: $906,100; 2019: $855,200",,2050023.00,B3L,Peninsula North,Halifax
"3556 Connaught Ave, Halifax",Primary market,1951,11,11,,,,,"2023: $1,061,400; 2022: $1,053,300; 2021: $938,200; 2020: $906,100; 2019: $855,200",,2050023.00,B3L,Peninsula North,Halifax
"356 Windmill Rd, Dartmouth",Primary market,1980,45,45,,,,,"2023: $3,675,700; 2022: $3,104,200; 2021: $2,983,900; 2020: $2,818,100; 2019: $2,660,500","2020: $4,500,000 (18 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"3564 Robie St, Halifax",Primary market,1958,8,8,,,,,"2023: $1,247,200; 2022: $1,197,200; 2021: $1,191,900; 2020: $1,266,300; 2019: $1,102,400",,2050022.00,B3K,Peninsula North,Halifax
"3565 Connaught Ave, Halifax",Primary market,1958,19,19,,,,,"2023: $2,226,900; 2022: $1,907,600; 2021: $1,742,300; 2020: $1,680,400; 2019: $1,601,900",,2050023.00,B3L,Peninsula North,Halifax
"3569 Dutch Village Rd, Halifax",Primary market,2017,49,49,,,,,"2023: $12,427,500; 2022: $12,205,700; 2021: $10,441,700; 2020: $10,197,200; 2019: $9,549,400","2020: $15,200,000 (1 parcel in sale)",2050023.00,B3N,Peninsula North,Halifax
"357 Larry Uteck Blvd, Halifax",Primary market,2010,68,68,,,,,"2023: $15,541,100; 2022: $15,371,200; 2021: $14,537,600; 2020: $14,282,600; 2019: $13,417,500",,2050027.00,B3M,Mainland North,Halifax
"357 Portland St, Dartmouth",Primary market,1968,12,12,,,,,"2023: $1,079,100; 2022: $1,015,300; 2021: $1,044,900; 2020: $1,022,800; 2019: $948,400",,2050102.00,B2Y,Dartmouth South,Halifax
"3570 Robie St, Halifax",Primary market,1960,4,4,,,,,"2023: $764,400; 2022: $722,800; 2021: $683,000; 2020: $635,600; 2019: $558,300","2020: $0 (1 parcel in sale); 2019: $700,000 (1 parcel in sale)",2050022.00,B3K,Peninsula North,Halifax
"3585 Robie St, Halifax",Primary market,1895,5,5,,,,,"2023: $710,100; 2022: $661,100; 2021: $645,900; 2020: $624,700; 2019: $600,400",,2050022.00,B3K,Peninsula North,Halifax
"359 Portland St, Dartmouth",Primary market,1940,4,4,,,,,"2023: $530,300; 2022: $460,900; 2021: $418,700; 2020: $362,100; 2019: $356,400",,2050102.00,B2Y,Dartmouth South,Halifax
"3594 St Pauls St, Halifax",Primary market,1958,47,47,,,,,"2023: $3,350,000; 2022: $3,202,900; 2021: $3,114,300; 2020: $3,028,500; 2019: $2,984,600",,2050022.00,B3K,Peninsula North,Halifax
"36 Abbey Rd, Halifax",Primary market,1975,197,197,,,,,"2023: $20,338,300; 2022: $13,340,100; 2021: $11,852,500; 2020: $10,142,400; 2019: $9,722,800",2020: $0 (1 parcel in sale),2050015.00,B3P,Mainland South,Halifax
"36 Bently Dr, Halifax",Primary market,2011,99,99,,,,,"2023: $22,687,500; 2022: $21,181,300; 2021: $21,358,400; 2020: $20,531,700; 2019: $18,717,800",,2050024.00,B3S,Mainland North,Halifax
"36 Gebhardt St, Halifax",Primary market,1964,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400","2021: $480,000 (1 parcel in sale)",2050025.01,B3M,Mainland North,Halifax
"36 Howe St, Dartmouth",Primary market,1944,4,4,,,,,"2023: $284,400; 2022: $268,400; 2021: $220,300; 2020: $228,900; 2019: $224,600",2020: $0 (1 parcel in sale); 2019: $1 (1 parcel in sale),2050111.00,B3A,Dartmouth North,Halifax
"36 Jackson Rd, Dartmouth",Primary market,,15,15,,,,,"2023: $762,700; 2022: $778,000; 2021: $697,900; 2020: $622,200; 2019: $581,200",,2050114.00,B3A,Dartmouth North,Halifax
"36 Kelly St, Halifax",Primary market,1975,48,48,,,,,"2023: $4,550,400; 2022: $3,604,000; 2021: $3,296,900; 2020: $3,110,800; 2019: $3,048,500",,2050016.00,B3N,Mainland South,Halifax
"36 Montgomery Crt, Halifax",Primary market,1992,32,32,,,,,"2023: $3,855,000; 2022: $3,411,300; 2021: $3,094,000; 2020: $3,070,100; 2019: $2,962,700",,2050026.01 (2006-2010); 2050026.04 (2011-2022),B3M,Mainland North,Halifax
"36 Primrose St, Dartmouth",Primary market,1971,50,50,5,,,,"2023: $4,349,800; 2022: $3,399,600; 2021: $3,296,200; 2020: $2,950,400; 2019: $2,900,700",,2050114.00,B3A,Dartmouth North,Halifax
"36 River Rd, Halifax",Primary market,1970,8,8,,,,,"2023: $483,400; 2022: $490,200; 2021: $442,900; 2020: $383,200; 2019: $400,500","2020: $2,102,200 (6 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"36 Sunnydale Crescent, Bedford",Primary market,1979,7,7,,,,,"2023: $648,300; 2022: $648,700; 2021: $595,600; 2020: $507,200; 2019: $490,900",,2050123.02,B4A,Bedford,Halifax
"36 Wentworth St, Dartmouth",Primary market,2019,24,24,,,,,"2023: $4,812,900; 2022: $4,551,000; 2021: $4,325,700; 2020: $3,948,600; 2019: $928,400",2019: $0 (1 parcel in sale),2050102.00,B2Y,Dartmouth South,Halifax
"361 Larry Uteck Blvd, Halifax",Primary market,2010,68,68,,,,,"2023: $15,731,300; 2022: $15,408,000; 2021: $14,529,400; 2020: $14,247,400; 2019: $13,393,900",,2050027.00 (2010-2010); 2050123.04 (2011-2020); 2050123.08 (2021-2022),B3M (2010-2022); B4A (2011-2020),Bedford,Halifax
"3611 Deal St, Halifax",Primary market,1959,8,8,,,,,"2023: $718,300; 2022: $681,400; 2021: $688,100; 2020: $659,600; 2019: $555,800",,2050023.00,B3N,Peninsula North,Halifax
"3613 Dutch Village Rd, Halifax",Primary market,1940,7,7,,,,,"2023: $1,450,900; 2022: $1,098,300; 2021: $679,300; 2020: $664,800; 2019: $636,500","2021: $1,665,000 (1 parcel in sale); 2021: $900,000 (1 parcel in sale)",2050023.00,B3N,Peninsula North,Halifax
"3628 Windsor St, Halifax",Primary market,1977,24,24,,,,,"2023: $2,318,400; 2022: $2,319,900; 2021: $2,289,300; 2020: $2,192,100; 2019: $2,071,000",,2050023.00,B3L,Peninsula North,Halifax
"3644 Dutch Village Rd, Halifax",Primary market,1974,73,73,,1,Addition,2022,"2023: $6,632,200; 2022: $6,667,700; 2021: $6,636,200; 2020: $5,433,800; 2019: $4,542,900",,2050024.00,B3N,Mainland North,Halifax
"3645 Dutch Village Rd, Halifax",Primary market,1978,5,5,,,,,"2023: $637,800; 2022: $583,200; 2021: $676,800; 2020: $638,500; 2019: $612,000",,2050023.00,B3N,Peninsula North,Halifax
"3650 Albert St, Halifax",Primary market,1943,5,5,,,,,"2023: $641,800; 2022: $604,500; 2021: $569,100; 2020: $569,200; 2019: $547,000",,2050022.00,B3K,Peninsula North,Halifax
"3661 Windsor St, Halifax",Primary market,1993,18,18,,,,,"2023: $2,899,500; 2022: $2,534,300; 2021: $2,421,800; 2020: $2,313,300; 2019: $2,250,000",,2050022.00,B3K,Peninsula North,Halifax
"3675 Windsor St, Halifax",Primary market,1959,12,12,,,,,"2023: $863,600; 2022: $761,000; 2021: $759,800; 2020: $574,200; 2019: $236,900",,2050022.00,B3K,Peninsula North,Halifax
"3678 Highway 2, Fletchers Lake",Primary market,,7,7,,,,,"2023: $605,300; 2022: $561,000; 2021: $521,100; 2020: $455,200; 2019: $452,400",,2050130.02 (2006-2010); 2050130.04 (2011-2022),,Remainder of CMA,Halifax
"3679 Windsor St, Halifax",Primary market,1989,12,12,,,,,"2023: $1,407,700; 2022: $1,265,600; 2021: $1,200,100; 2020: $1,085,600; 2019: $1,105,300",,2050022.00,B3K,Peninsula North,Halifax
"3686 Highway 2, Fletchers Lake",Primary market,,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050130.02 (2006-2010); 2050130.04 (2011-2022),,Remainder of CMA,Halifax
"3693 Windsor St, Halifax",Primary market,1958,12,12,,,,,"2023: $1,127,700; 2022: $1,140,300; 2021: $974,600; 2020: $857,400; 2019: $841,000",,2050022.00,B3K,Peninsula North,Halifax
"3699 Windsor St, Halifax",Primary market,1958,12,12,,,,,"2023: $1,127,700; 2022: $1,140,300; 2021: $974,600; 2020: $857,400; 2019: $841,000",,2050022.00,B3K,Peninsula North,Halifax
"37 Brule St, Dartmouth",Primary market,1964,8,8,,,,,"2023: $600,800; 2022: $580,800; 2021: $515,600; 2020: $416,800; 2019: $423,200",,2050114.00,B3A,Dartmouth North,Halifax
"37 Gaston Rd, Dartmouth",Primary market,1965,6,6,,,,,"2023: $598,900; 2022: $584,700; 2021: $364,200; 2020: $335,400; 2019: $317,800","2020: $620,000 (1 parcel in sale)",2050103.00,B2Y,Dartmouth South,Halifax
"37 Gebhardt St, Halifax",Primary market,1973,4,4,1,,,,"2023: $408,000; 2022: $385,300; 2021: $365,200; 2020: $346,100; 2019: $381,400",,2050025.01,B3M,Mainland North,Halifax
"37 Larry Uteck Blvd, Halifax",Primary market,2005,24,24,,,,,"2023: $4,648,700; 2022: $4,581,500; 2021: $4,120,300; 2020: $3,974,800; 2019: $3,909,400",,2050027.00,B3M,Mainland North,Halifax
"37 Leaman Dr, Dartmouth",Primary market,1976,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400","2022: $785,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"37 Main Ave, Halifax",Primary market,2007,23,23,,,,,"2023: $2,023,900; 2022: $2,338,400; 2021: $2,245,400; 2020: $2,207,100; 2019: $2,167,200",,2050025.02,B3M,Mainland North,Halifax
"37 Martin Lake Dr, Lake Echo",Primary market,1972,4,4,,,,,"2023: $530,300; 2022: $329,900; 2021: $311,400; 2020: $271,800; 2019: $267,500","2022: $600,000 (1 parcel in sale); 2020: $285,000 (1 parcel in sale)",2050150.01,B3E,Remainder of CMA,Halifax
"370 Gary Martin Dr, Bedford",Primary market,2022,73,73,,,,,"2023: $18,682,500; 2022: $14,780,000; 2021: $8,836,000; 2020: $2,268,000; 2019: $1,700,000",,2050132.06,B4B,Remainder of CMA,Halifax
"3700 Joseph Howe Dr, Halifax",Primary market,1994,6,6,,,,,"2023: $1,142,700; 2022: $1,057,400; 2021: $1,081,400; 2020: $996,700; 2019: $1,012,900",,2050023.00,B3N,Peninsula North,Halifax
"3705 Dutch Village Rd, Halifax",Primary market,1960,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050023.00,B3N,Peninsula North,Halifax
"3711 Windsor St, Halifax",Primary market,1945,12,12,,,,,"2023: $1,384,200; 2022: $1,234,200; 2021: $1,092,200; 2020: $1,052,500; 2019: $1,001,200",,2050022.00,B3K,Peninsula North,Halifax
"3715 Dutch Village Rd, Halifax",Primary market,1941,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050023.00,B3N,Peninsula North,Halifax
"3719 Highway 2, Fletchers Lake",Primary market,1960,44,44,,,,,"2023: $3,552,900; 2022: $3,358,300; 2021: $2,923,600; 2020: $2,555,300; 2019: $2,490,800",,2050130.02 (2006-2010); 2050130.04 (2011-2022),,Remainder of CMA,Halifax
"3729 Bright St, Halifax",Primary market,1953,4,4,2,,,,"2023: $836,300; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400","2021: $850,000 (1 parcel in sale)",2050022.00,B3K,Peninsula North,Halifax
"3734 Dutch Village Rd, Halifax",Primary market,1990,4,4,,,,,"2023: $592,000; 2022: $563,200; 2021: $539,100; 2020: $388,600; 2019: $381,400","2019: $1,100,000 (2 parcels in sale)",2050024.00,B3N,Mainland North,Halifax
"3740 Dutch Village Rd, Halifax",Primary market,1990,4,4,,,,,"2023: $592,000; 2022: $563,200; 2021: $539,100; 2020: $388,600; 2019: $381,400","2019: $1,100,000 (2 parcels in sale)",2050024.00,B3N,Mainland North,Halifax
"3741 Kencrest Ave, Halifax",Primary market,1960,6,6,,,,,"2023: $1,062,700; 2022: $1,037,700; 2021: $1,020,800; 2020: $902,000; 2019: $848,500",,2050022.00,B3K,Peninsula North,Halifax
"3749 Dutch Village Rd, Halifax",Primary market,1981,4,4,,,,,"2023: $549,100; 2022: $508,300; 2021: $489,600; 2020: $467,000; 2019: $458,400",,2050023.00,B3N,Peninsula North,Halifax
"3755 Kencrest Ave, Halifax",Primary market,1960,8,8,,,,,"2023: $1,426,100; 2022: $1,392,500; 2021: $1,368,300; 2020: $1,266,300; 2019: $1,102,400",,2050022.00,B3K,Peninsula North,Halifax
"3765 Kencrest Ave, Halifax",Primary market,1956,6,6,,,,,"2023: $514,200; 2022: $534,900; 2021: $708,900; 2020: $665,100; 2019: $654,400",,2050022.00,B3K,Peninsula North,Halifax
"3775 Kencrest Ave, Halifax",Primary market,1958,6,6,,,,,"2023: $514,200; 2022: $569,700; 2021: $708,900; 2020: $665,100; 2019: $654,400",,2050022.00,B3K,Peninsula North,Halifax
"378 Windmill Rd, Dartmouth",Primary market,1976,24,24,,,,,"2023: $1,584,400; 2022: $1,488,000; 2021: $1,374,100; 2020: $1,275,300; 2019: $1,262,500",2021: $0 (4 parcels in sale),2050112.00,B3A,Dartmouth North,Halifax
"38 Andover St, Dartmouth",Primary market,1991,18,18,,,,,"2023: $1,879,100; 2022: $1,775,800; 2021: $1,688,800; 2020: $1,427,300; 2019: $1,408,200","2021: $3,800,000 (2 parcels in sale)",2050106.01,B2X,Dartmouth East,Halifax
"38 Fenwick St, Dartmouth",Primary market,,4,4,,,,,"2023: $442,100; 2022: $412,400; 2021: $389,200; 2020: $339,700; 2019: $334,300",,2050101.00,B2Y,Dartmouth South,Halifax
"38 Masthead Crt, Halifax",Primary market,2008,65,65,,,,,"2023: $12,009,500; 2022: $9,681,700; 2021: $9,078,100; 2020: $8,660,900; 2019: $8,822,300",,2050027.00,B3M,Mainland North,Halifax
"38 River Rd, Halifax",Primary market,1970,8,8,,,,,"2023: $483,400; 2022: $490,200; 2021: $442,900; 2020: $383,200; 2019: $400,500","2020: $2,102,200 (6 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"38 Titus St, Halifax",Primary market,1993,13,13,,,,,"2023: $863,200; 2022: $836,300; 2021: $841,700; 2020: $829,900; 2019: $747,300",,2050025.01,B3M,Mainland North,Halifax
"38 Trinity Ave, Dartmouth",Primary market,1975,12,12,,,,,"2023: $967,600; 2022: $658,800; 2021: $657,900; 2020: $570,200; 2019: $596,100","2021: $5,132,703 (4 parcels in sale); 2020: $0 (6 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"38 Victoria Rd, Dartmouth",Primary market,1950,4,4,,,,,"2023: $574,300; 2022: $528,900; 2021: $503,800; 2020: $427,900; 2019: $356,400",,2050109.00,B2Y,Dartmouth North,Halifax
"38 Vimy Ave, Halifax",Primary market,1988,12,12,,,,,"2023: $1,001,700; 2022: $1,010,900; 2021: $1,010,100; 2020: $869,100; 2019: $883,900",,2050025.02,B3M,Mainland North,Halifax
"3805 Mont Blanc Terrace, Halifax",Primary market,2006,64,64,,,,,"2023: $12,294,100; 2022: $11,208,100; 2021: $10,588,700; 2020: $10,915,600; 2019: $10,654,300",,2050022.00,B3K,Peninsula North,Halifax
"3807 Mont Blanc Terrace, Halifax",Primary market,2003,64,64,,,,,"2023: $12,294,100; 2022: $11,208,100; 2021: $10,588,700; 2020: $10,915,600; 2019: $10,654,300",,2050022.00,B3K,Peninsula North,Halifax
"3811 Newbery St, Halifax",Primary market,1961,4,4,,,,,"2023: $713,900; 2022: $673,500; 2021: $613,000; 2020: $568,900; 2019: $558,300",,2050022.00,B3K,Peninsula North,Halifax
"3824 Joseph Howe Dr, Halifax",Primary market,1970,25,25,,,,,"2023: $1,734,100; 2022: $1,668,800; 2021: $1,683,400; 2020: $1,683,900; 2019: $1,496,400",,2050024.00,B3N,Mainland North,Halifax
"3834 Robie St, Halifax",Primary market,1964,6,6,,,,,"2023: $852,700; 2022: $862,900; 2021: $868,900; 2020: $833,300; 2019: $765,100",,2050022.00,B3K,Peninsula North,Halifax
"3885 Novalea Dr, Halifax",Primary market,1956,6,6,,,,,"2023: $827,200; 2022: $749,400; 2021: $693,900; 2020: $650,700; 2019: $632,200",,2050022.00,B3K,Peninsula North,Halifax
"3890 Kencrest Ave, Halifax",Primary market,1950,6,6,,,,,"2023: $1,062,700; 2022: $1,037,700; 2021: $1,020,800; 2020: $944,700; 2019: $819,600","2022: $1,100,000 (1 parcel in sale)",2050022.00,B3K,Peninsula North,Halifax
"39 Brule St, Dartmouth",Primary market,1964,5,5,,,,,"2023: $442,100; 2022: $412,400; 2021: $389,200; 2020: $339,700; 2019: $334,300",,2050114.00,B3A,Dartmouth North,Halifax
"39 Courtney Rd, Dartmouth",Primary market,1950,4,4,,,,,"2023: $284,400; 2022: $268,400; 2021: $220,300; 2020: $228,900; 2019: $224,600",,2050112.00,B3A,Dartmouth North,Halifax
"39 Old Sambro Rd, Halifax",Primary market,1969,4,4,,,,,"2023: $262,200; 2022: $242,600; 2021: $234,300; 2020: $271,800; 2019: $267,500","2022: $650,000 (1 parcel in sale); 2021: $0 (5 parcels in sale); 2019: $225,000 (1 parcel in sale)",2050015.00,B3P,Mainland South,Halifax
"39 Towerview Dr, Halifax",Primary market,1972,32,32,,,,,"2023: $4,204,000; 2022: $3,086,200; 2021: $2,965,700; 2020: $2,823,400; 2019: $2,714,400",,2050014.00,B3P,Mainland South,Halifax
"390 Herring Cove Rd, Halifax",Primary market,,6,6,,1,Renovation,2022,"2023: $574,900; 2022: $573,200; 2021: $523,300; 2020: $446,000; 2019: $490,200",,2050002.00,B3R,Mainland South,Halifax
"390 Larry Uteck Blvd, Halifax",Primary market,2011,73,73,,,,,"2023: $16,745,000; 2022: $16,468,500; 2021: $16,005,100; 2020: $15,157,700; 2019: $14,446,000",,2050132.06,B4B,Remainder of CMA,Halifax
"390 Parkland Dr, Halifax",Primary market,2001,70,70,,,,,"2023: $11,059,000; 2022: $9,449,100; 2021: $9,018,800; 2020: $8,587,000; 2019: $8,493,100",,2050026.01 (2006-2010); 2050026.04 (2011-2022),B3S,Mainland North,Halifax
"3923 Kencrest Ave, Halifax",Primary market,1990,48,48,,,,,"2023: $5,147,700; 2022: $4,989,300; 2021: $5,084,100; 2020: $4,918,100; 2019: $4,340,700",,2050022.00,B3K,Peninsula North,Halifax
"4 Alfred St, Dartmouth",Primary market,1975,11,11,,,,,"2023: $705,400; 2022: $594,400; 2021: $593,700; 2020: $515,200; 2019: $539,300","2021: $5,846,340 (6 parcels in sale); 2020: $0 (6 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"4 Brule St, Dartmouth",Primary market,1965,12,12,,,,,"2023: $829,200; 2022: $792,500; 2021: $750,400; 2020: $600,100; 2019: $588,800","2020: $860,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"4 Caxton Close, Halifax",Primary market,1991,48,48,,,,,"2023: $5,849,900; 2022: $5,054,700; 2021: $4,577,800; 2020: $4,537,400; 2019: $4,363,700",,2050025.03 (2006-2020); 2050025.05 (2021-2022),B3S (2006-2022); B3M (2011-2015),Mainland North,Halifax
"4 Crystal Dr, Dartmouth",Primary market,2009,12,12,,,,,"2023: $1,135,100; 2022: $1,029,700; 2021: $988,700; 2020: $790,000; 2019: $655,800",,2050114.00,B3A,Dartmouth North,Halifax
"4 Franklyn Crt, Dartmouth",Primary market,1968,121,121,1,,,,"2023: $10,891,500; 2022: $9,247,500; 2021: $8,109,200; 2020: $8,020,000; 2019: $8,037,200","2022: $18,600,000 (3 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"4 Frederick Ave, Halifax",Primary market,1962,8,8,,,,,"2023: $731,200; 2022: $691,800; 2021: $699,300; 2020: $673,900; 2019: $565,000",,2050024.00,B3N,Mainland North,Halifax
"4 Galaxy Ave, Dartmouth",Primary market,1966,13,13,,,,,"2023: $856,200; 2022: $796,300; 2021: $774,900; 2020: $671,400; 2019: $694,300",,2050103.00,B2Y,Dartmouth South,Halifax
"4 Lakefront Rd, Dartmouth",Primary market,1969,52,52,,,,,"2023: $3,706,500; 2022: $3,557,100; 2021: $3,356,700; 2020: $3,258,900; 2019: $3,072,500","2022: $5,250,000 (1 parcel in sale)",2050102.00,B2Y,Dartmouth South,Halifax
"4 Lynnett Rd, Halifax",Primary market,1974,15,15,,,,,"2023: $953,500; 2022: $945,700; 2021: $887,300; 2020: $743,900; 2019: $783,700",,2050002.00,B3R,Mainland South,Halifax
"4 Mandaville Crt, Halifax",Primary market,1972,22,22,,,,,"2023: $1,888,000; 2022: $1,854,300; 2021: $1,769,700; 2020: $1,791,500; 2019: $1,532,000",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"4 McIntosh St, Halifax",Primary market,1965,6,6,,,,,"2023: $629,200; 2022: $566,800; 2021: $358,100; 2020: $312,700; 2019: $329,200","2020: $1,020,000 (2 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"4 Middle St, Dartmouth",Primary market,1975,6,6,,,,,"2023: $431,100; 2022: $360,600; 2021: $359,500; 2020: $312,400; 2019: $327,600",,2050112.00,B3A,Dartmouth North,Halifax
"4 Murray Hill Dr, Dartmouth",Primary market,1945,4,4,,1,Renovation,2022,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500","2022: $1,125,000 (2 parcels in sale)",2050102.00,B2Y,Dartmouth South,Halifax
"4 Ramsgate Lane, Halifax",Primary market,1995,54,54,,,,,"2023: $8,551,800; 2022: $6,868,000; 2021: $6,524,200; 2020: $6,048,200; 2019: $5,940,500",,2050014.00,B3P,Mainland South,Halifax
"4 Regency Dr, Dartmouth",Primary market,1970,6,6,,,,,"2023: $393,000; 2022: $376,300; 2021: $318,700; 2020: $289,000; 2019: $271,000","2020: $510,000 (1 parcel in sale)",2050101.00,B2Y,Dartmouth South,Halifax
"4 Skeena St, Halifax",Primary market,1974,6,6,,,,,"2023: $612,500; 2022: $561,100; 2021: $549,100; 2020: $539,600; 2019: $473,200",,2050024.00,B3N,Mainland North,Halifax
"40 Andover St, Dartmouth",Primary market,1986,18,18,,,,,"2023: $1,879,100; 2022: $1,775,800; 2021: $1,688,800; 2020: $1,427,300; 2019: $1,408,200","2021: $3,800,000 (2 parcels in sale)",2050106.01,B2X,Dartmouth East,Halifax
